id,symbol,name,categories,market_cap (usd),market_cap_rank,fully_diluted_valuation (usd)
adappter-token,adp,Adappter,"['Ethereum Ecosystem', 'DWF Labs Portfolio']",6878878,1672,16636411.0
adex,adx,AdEx,"['Media', 'Marketing', 'BNB Chain Ecosystem', 'Polygon Ecosystem', 'Ethereum Ecosystem']",16557420,1199,17241801.0
adshares,ads,Adshares,"['Business Services', 'Decentralized Finance (DeFi)', 'BNB Chain Ecosystem', 'Metaverse', 'Polygon Ecosystem', 'Ethereum Ecosystem']",20976265,1053,20983710.0
adventure-gold,agld,Adventure Gold,"['Ethereum Ecosystem', 'DWF Labs Portfolio']",107464325,404,107464325.0
aelf,elf,aelf,"['Infrastructure', 'Smart Contract Platform', 'BNB Chain Ecosystem', 'Layer 1 (L1)', 'Ethereum Ecosystem', 'GMCI Layer 1 Index', 'Aelf Ecosystem', 'GMCI Index']",178941391,289,241236424.0
advertise-coin,adco,Advertise Coin,['Ethereum Ecosystem'],21536365,1042,23929294.0
aerodrome-finance,aero,Aerodrome Finance,"['Decentralized Exchange (DEX)', 'Decentralized Finance (DeFi)', 'Automated Market Maker (AMM)', 'Base Ecosystem', 'Binance Alpha Spotlight', 'Made in USA']",479129125,146,929558037.0
aergo,aergo,Aergo,"['Smart Contract Platform', 'Ethereum Ecosystem', 'Sequoia Capital Portfolio']",33084556,827,35010113.0
aeternity,ae,Aeternity,"['Infrastructure', 'Smart Contract Platform']",8957195,1523,11125829.0
aerobud,aerobud,AEROBUD,"['Charity', 'Meme', 'Base Ecosystem', 'Dog-Themed', 'Base Meme', 'Made in USA']",7673990,1611,7673990.0
aethir,ath,Aethir,"['Solana Ecosystem', 'Arbitrum Ecosystem', 'Impossible Finance Launchpad', 'Ethereum Ecosystem', 'DePIN', 'Animoca Brands Portfolio']",235142263,231,1474544079.0
aevo-exchange,aevo,Aevo,"['Smart Contract Platform', 'Decentralized Finance (DeFi)', 'Binance Launchpool', 'Derivatives', 'Perpetuals', 'Ethereum Ecosystem', 'Layer 2 (L2)', 'DragonFly Capital Portfolio', 'Pantera Capital Portfolio']",111621473,396,123589094.0
afreum,afr,Afreum,['Stellar Ecosystem'],5057418,1859,7160759.0
agenda-47,a47,AGENDA 47,"['Solana Ecosystem', 'Meme', 'Pump.fun Ecosystem']",19092646,1118,19092646.0
agentfun-ai,agentfun,AgentFun.AI,"['Meme', 'Cronos Ecosystem', 'AI Meme', 'Cronos zkEVM Ecosystem']",197206108,261,197206108.0
ageur,eura,EURA,"['Stablecoins', 'EUR Stablecoin', 'BNB Chain Ecosystem', 'Polygon Ecosystem', 'Gnosis Chain Ecosystem', 'Arbitrum Ecosystem', 'Celo Ecosystem', 'Ethereum Ecosystem', 'Crypto-backed Stablecoin']",19530373,1106,19530373.0
agoras-currency-of-tau,agrs,Agoras: Tau Net,"['Artificial Intelligence (AI)', 'Smart Contract Platform', 'Ethereum Ecosystem']",12215948,1352,28503878.0
agora-dollar,ausd,AUSD,"['Stablecoins', 'USD Stablecoin', 'Solana Ecosystem', 'Avalanche Ecosystem', 'Polygon Ecosystem', 'Ethereum Ecosystem', 'Sui Ecosystem', 'Injective Ecosystem', 'Fiat-backed Stablecoin']",12810456,1328,12810456.0
ahatoken,aht,AhaToken,['Meme'],23822497,981,30160482.0
agridex-governance-token,agri,AgriDex,"['Tokenized Assets', 'Solana Ecosystem', 'Real World Assets (RWA)', 'Tokenized Commodities']",6043451,1743,57556678.0
a-hunters-dream,caw,A Hunters Dream,"['SocialFi', 'Ethereum Ecosystem']",25602212,952,26808599.0
ai-analysis-token,aiat,AI Analysis Token,['Ethereum Ecosystem'],55360416,618,250845527.0
agoric,bld,Agoric,"['Smart Contract Platform', 'Layer 1 (L1)', 'Osmosis Ecosystem', 'Proof of Stake (PoS)', 'Cross-chain Communication', 'Archway Ecosystem', 'Secret Ecosystem', 'Outlier Ventures Portfolio', 'Made in USA']",30137545,876,48079468.0
ai16z,ai16z,ai16z,"['Artificial Intelligence (AI)', 'Solana Ecosystem', 'Meme', 'Solana Meme', 'AI Meme', 'AI Agents', 'Binance Alpha Spotlight', 'AI Framework', 'Made in USA']",222709290,243,222709290.0
ai-companions,aic,AI Companions,"['BNB Chain Ecosystem', 'Meme', 'AI Meme']",300918467,200,300918467.0
aioz-network,aioz,AIOZ Network,"['Artificial Intelligence (AI)', 'Smart Contract Platform', 'Storage', 'BNB Chain Ecosystem', 'Layer 1 (L1)', 'Ethereum Ecosystem', 'DePIN', 'DWF Labs Portfolio', 'Osmosis Ecosystem', 'GMCI DePIN Index', 'GMCI Index']",348196815,182,352548002.0
ai-rig-complex,arc,AI Rig Complex,"['Artificial Intelligence (AI)', 'Infrastructure', 'Solana Ecosystem', 'Meme', 'AI Agents', 'Pump.fun Ecosystem', 'AI Agent Launchpad', 'Binance Alpha Spotlight', 'AI Framework']",92249315,454,92249315.0
airswap,ast,AirSwap,"['Decentralized Exchange (DEX)', 'Exchange-based Tokens', 'Decentralized Finance (DeFi)', 'Ethereum Ecosystem']",9655157,1476,23289138.0
airtor-protocol,anyone,ANyONe Protocol,"['Smart Contract Platform', 'Ethereum Ecosystem', 'DePIN', 'Privacy Blockchain']",27776207,921,34747323.0
aki-protocol,aki,Aki Network,"['Polygon Ecosystem', 'Meme', 'AI Meme']",16006821,1218,18980889.0
akash-network,akt,Akash Network,"['Artificial Intelligence (AI)', 'Smart Contract Platform', 'DePIN', 'Osmosis Ecosystem', 'Proof of Stake (PoS)', 'Archway Ecosystem', 'Made in USA']",315470834,193,316548296.0
aixbt,aixbt,aixbt by Virtuals,"['Solana Ecosystem', 'Meme', 'Base Ecosystem', 'AI Meme', 'AI Agents', 'Virtuals Protocol Ecosystem', 'Binance Alpha Spotlight', 'DeFAI']",104079162,411,121642839.0
akuma-inu,akuma,Akuma Inu,"['Meme', 'Base Ecosystem', 'Dog-Themed', 'Base Meme']",5673572,1773,5673572.0
alchemist-ai,alch,Alchemist AI,"['Artificial Intelligence (AI)', 'Solana Ecosystem', 'Meme', 'Pump.fun Ecosystem', 'AI Applications', 'Binance Alpha Spotlight']",47211515,683,55542355.0
alchemix,alcx,Alchemix,"['Decentralized Finance (DeFi)', 'Yield Farming', 'Lending/Borrowing Protocols', 'Near Protocol Ecosystem', 'Olympus Pro Ecosystem', 'Ethereum Ecosystem', 'eGirl Capital Portfolio', 'Alameda Research Portfolio', 'Delphi Ventures Portfolio']",25965199,942,32567246.0
alchemy-pay,ach,Alchemy Pay,"['BNB Chain Ecosystem', 'Ethereum Ecosystem', 'Payment Solutions', 'DWF Labs Portfolio']",118323631,377,239342689.0
alchemix-usd,alusd,Alchemix USD,"['Stablecoins', 'Decentralized Finance (DeFi)', 'USD Stablecoin', 'Fantom Ecosystem', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'Optimism Ecosystem', 'Algorithmic Stablecoin', 'Fiat-backed Stablecoin']",15362216,1235,15362216.0
aleo,aleo,ALEO,"['Smart Contract Platform', 'Layer 1 (L1)', 'Zero Knowledge (ZK)', 'Andreessen Horowitz (a16z) Portfolio', 'Privacy Blockchain', 'Made in USA']",102922589,413,507374948.0
aleph,aleph,Aleph.im,"['Artificial Intelligence (AI)', 'Infrastructure', 'Storage', 'BNB Chain Ecosystem', 'Avalanche Ecosystem', 'Ethereum Ecosystem', 'DePIN', 'Base Ecosystem', 'FTX Holdings', 'Alameda Research Portfolio']",12718175,1328,34109431.0
alephium,alph,Alephium,"['Smart Contract Platform', 'BNB Chain Ecosystem', 'Layer 1 (L1)', 'Wallets', 'Ethereum Ecosystem', 'Alephium Ecosystem', 'Proof of Work (PoW)']",40322888,740,79699619.0
aleph-zero,azero,Aleph Zero,"['Smart Contract Platform', 'Layer 1 (L1)', 'Layer 2 (L2)', 'Zero Knowledge (ZK)', 'Rollup', 'Proof of Stake (PoS)', 'Privacy Blockchain']",45184831,695,77720887.0
alexgo,alex,ALEX Lab,"['Decentralized Finance (DeFi)', 'Lending/Borrowing Protocols', 'Ethereum Ecosystem', 'DWF Labs Portfolio', 'Mode Ecosystem', 'Stacks Ecosystem', 'BTCfi']",28093663,906,34110402.0
alethea-artificial-liquid-intelligence-token,ali,Artificial Liquid Intelligence,"['Artificial Intelligence (AI)', 'NFT', 'Metaverse', 'Solana Ecosystem', 'Polygon Ecosystem', 'Ethereum Ecosystem', 'Cronos Ecosystem', 'Base Ecosystem', 'Multicoin Capital Portfolio', 'AI Agents', 'Alameda Research Portfolio', 'DeFiance Capital Portfolio', 'Binance Labs Portfolio']",49789656,667,60009633.0
algorand,algo,Algorand,"['Smart Contract Platform', 'Layer 1 (L1)', 'Algorand Ecosystem', 'Real World Assets (RWA)', 'Alleged SEC Securities', 'DWF Labs Portfolio', 'Multicoin Capital Portfolio', 'Proof of Stake (PoS)', 'GMCI Layer 1 Index', 'GMCI Index', 'Made in USA', 'Coinbase 50 Index']",1828775243,58,1828946771.0
alienbase,alb,Alien Base,"['Decentralized Exchange (DEX)', 'Decentralized Finance (DeFi)', 'Base Ecosystem']",11313797,1393,27908206.0
alien-worlds,tlm,Alien Worlds,"['Gaming (GameFi)', 'NFT', 'BNB Chain Ecosystem', 'Binance Launchpool', 'Play To Earn', 'Ethereum Ecosystem', 'Animoca Brands Portfolio', 'Card Games', 'Gaming Governance Token', 'Binance Labs Portfolio', 'Wax Ecosystem', 'MMO']",32858161,827,37923066.0
alkimi,$ads,Alkimi,"['Marketing', 'Ethereum Ecosystem']",21053749,1047,27397450.0
allianceblock-nexera,nxra,Nexera,"['BNB Chain Ecosystem', 'Avalanche Ecosystem', 'Polygon Ecosystem', 'Ethereum Ecosystem', 'Real World Assets (RWA)']",12377781,1336,27826637.0
alpaca-finance,alpaca,Alpaca Finance,"['Decentralized Finance (DeFi)', 'Yield Farming', 'BNB Chain Ecosystem', 'Yield Aggregator', 'Lending/Borrowing Protocols', 'Fantom Ecosystem']",9974622,1459,9974622.0
alpha-fi,alpha,Alpha Fi,['Sui Ecosystem'],18070716,1140,19774357.0
alpha-finance,alpha,Stella,"['Decentralized Finance (DeFi)', 'Yield Farming', 'BNB Chain Ecosystem', 'Binance Launchpool', 'Yield Aggregator', 'Avalanche Ecosystem', 'Ethereum Ecosystem', 'Binance Launchpad', 'Multicoin Capital Portfolio', 'Alameda Research Portfolio', 'DeFiance Capital Portfolio', 'Energi Ecosystem', 'Binance Labs Portfolio', 'Delphi Ventures Portfolio']",35529286,793,38535017.0
alpha-quark-token,aqt,Alpha Quark,"['NFT', 'Ethereum Ecosystem', 'NFTFi', 'NFT Lending/Borrowing']",31925438,842,35729164.0
alpine-f1-team-fan-token,alpine,Alpine F1 Team Fan Token,"['BNB Chain Ecosystem', 'Binance Launchpad']",10595115,1417,37306742.0
altered-state-token,asto,Altered State Machine,"['Artificial Intelligence (AI)', 'Gaming (GameFi)', 'NFT', 'Metaverse', 'Ethereum Ecosystem', 'Animoca Brands Portfolio', 'Coinbase Ventures Portfolio', 'Gaming Governance Token', 'Gaming Utility Token', 'AI Agents', 'Delphi Ventures Portfolio', 'AI Applications', 'Outlier Ventures Portfolio']",12178204,1346,35888380.0
altlayer,alt,AltLayer,"['Smart Contract Platform', 'BNB Chain Ecosystem', 'Binance Launchpool', 'Ethereum Ecosystem', 'Layer 2 (L2)', 'Restaking', 'Rollups-as-a-Service (RaaS)', 'Rollup', 'Binance Labs Portfolio']",100551288,423,360138927.0
altura,alu,Altura,"['Artificial Intelligence (AI)', 'Infrastructure', 'Gaming (GameFi)', 'NFT', 'BNB Chain Ecosystem', 'Base Ecosystem', 'Gaming Platform', 'Made in USA', 'Gaming Marketplace']",39979135,741,39979135.0
amaterasu-omikami,omikami,AMATERASU OMIKAMI,"['Meme', 'Ethereum Ecosystem', 'Dog-Themed']",29226835,887,29226835.0
ambire-wallet,wallet,Ambire Wallet,"['Wallets', 'Polygon Ecosystem', 'Ethereum Ecosystem', 'Base Ecosystem', 'Account Abstraction']",7757888,1591,7802452.0
alvara-protocol,alva,Alvara Protocol,"['Decentralized Finance (DeFi)', 'Avalanche Ecosystem', 'Ethereum Ecosystem']",6341058,1704,25175119.0
american-coin,usa,American Coin,"['Solana Ecosystem', 'Meme', 'Solana Meme', 'Parody Meme', 'Country-Themed Meme', 'Murad Picks']",17218308,1167,17218308.0
amnis-aptos,amapt,Amnis Aptos,"['Liquid Staking Tokens', 'Aptos Ecosystem', 'Liquid Staking']",151674756,323,151706888.0
amnis-staked-aptos-coin,stapt,Amnis Staked Aptos Coin,"['Liquid Staking Tokens', 'Aptos Ecosystem', 'Liquid Staking', 'Liquid Staked APT\t']",13677209,1295,13677209.0
ampleforth-governance-token,forth,Ampleforth Governance,"['Ethereum Ecosystem', 'Stablecoin Protocol']",30579113,864,43098064.0
amp-token,amp,Amp,"['Decentralized Finance (DeFi)', 'Near Protocol Ecosystem', 'Ethereum Ecosystem', 'Payment Solutions', 'Alleged SEC Securities', 'Pantera Capital Portfolio', 'Energi Ecosystem', 'Made in USA']",378133691,174,447437752.0
amo,amo,AMO Coin,"['Big Data', 'Kaia Ecosystem']",14369253,1267,14369253.0
ampleforth,ampl,Ampleforth,"['Decentralized Finance (DeFi)', 'Rebase Tokens', 'BNB Chain Ecosystem', 'Avalanche Ecosystem', 'Near Protocol Ecosystem', 'Harmony Ecosystem', 'Ethereum Ecosystem', 'Pantera Capital Portfolio', 'Energi Ecosystem']",82244128,485,88405738.0
ancient8,a8,Ancient8,"['Smart Contract Platform', 'Gaming (GameFi)', 'Ethereum Ecosystem', 'Layer 2 (L2)', 'Gaming Blockchains', 'Pantera Capital Portfolio', 'Ancient8 Ecosystem', 'Optimism Superchain Ecosystem']",31254882,855,118711211.0
andy-the-wisguy,andy,ANDY ETH,"['Meme', 'Ethereum Ecosystem', 'The Boy’s Club']",46113461,687,46113461.0
anime,anime,Animecoin,"['NFT', 'Meme', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'Anime-Themed', 'Binance HODLer Airdrops', 'Airdropped Tokens by NFT Projects']",101298525,421,182895388.0
ankr,ankr,Ankr Network,"['BNB Chain Ecosystem', 'Avalanche Ecosystem', 'Polygon Ecosystem', 'Fantom Ecosystem', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'Optimism Ecosystem', 'Liquid Staking Governance Tokens', 'Linea Ecosystem', 'DePIN', 'Scroll Ecosystem', 'Rollups-as-a-Service (RaaS)', 'Blast Ecosystem', 'Mode Ecosystem', 'Pantera Capital Portfolio', 'Polygon zkEVM Ecosystem', 'Binance Labs Portfolio', 'Liquid Staking', 'Made in USA']",182123940,278,182123940.0
ankreth,ankreth,Ankr Staked ETH,"['BNB Chain Ecosystem', 'Avalanche Ecosystem', 'Fantom Ecosystem', 'Arbitrum Ecosystem', 'Liquid Staking Tokens', 'Ethereum Ecosystem', 'Optimism Ecosystem', 'Linea Ecosystem', 'Scroll Ecosystem', 'Blast Ecosystem', 'Mode Ecosystem', 'Polygon zkEVM Ecosystem', 'Liquid Staked ETH', 'Liquid Staking']",27829502,907,27829502.0
anonfi,anon,AnonFi,['Base Ecosystem'],20952047,1045,24761510.0
anvil,anvl,Anvil,"['Decentralized Finance (DeFi)', 'Ethereum Ecosystem']",40252419,738,209659939.0
anzen-usdz,usdz,Anzen USDz,"['Stablecoins', 'Ethereum Ecosystem', 'Base Ecosystem', 'Blast Ecosystem', 'Fiat-backed Stablecoin']",104082994,411,104082994.0
apecoin,ape,ApeCoin,"['Gaming (GameFi)', 'NFT', 'Polygon Ecosystem', 'Ethereum Ecosystem', 'Animoca Brands Portfolio', 'Gaming Blockchains', 'Gaming Governance Token', 'Gaming Utility Token', 'Andreessen Horowitz (a16z) Portfolio', 'ApeChain Ecosystem', 'Airdropped Tokens by NFT Projects', 'Coinbase 50 Index']",419577763,164,524829421.0
apenft,nft,APENFT,"['NFT', 'BNB Chain Ecosystem', 'Ethereum Ecosystem', 'Tron Ecosystem']",450378914,151,454875089.0
api3,api3,API3,"['Decentralized Finance (DeFi)', 'Oracle', 'Ethereum Ecosystem', 'DWF Labs Portfolio', 'Pantera Capital Portfolio']",71070471,537,88632343.0
apex-token-2,apex,ApeX,"['Derivatives', 'Perpetuals', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'DragonFly Capital Portfolio']",57915251,606,518956005.0
apf-coin,apfc,APF coin,"['Tokenized Real Estate', 'Tokenized Assets', 'Ethereum Ecosystem', 'Real World Assets (RWA)', 'RWA Protocol']",177590465,286,260750335.0
apollox-2,apx,APX,"['Decentralized Finance (DeFi)', 'BNB Chain Ecosystem', 'Perpetuals', 'Binance Labs Portfolio', 'Binance Alpha Spotlight']",23619592,982,218282617.0
aptos,apt,Aptos,"['Smart Contract Platform', 'Layer 1 (L1)', 'Aptos Ecosystem', 'FTX Holdings', 'Coinbase Ventures Portfolio', 'Multicoin Capital Portfolio', 'Proof of Stake (PoS)', 'DragonFly Capital Portfolio', 'Andreessen Horowitz (a16z) Portfolio', 'Binance Labs Portfolio', 'GMCI Layer 1 Index', 'GMCI 30 Index', 'Circle Ventures Portfolio', 'GMCI Index', 'Made in USA']",3491173981,36,6764107992.0
apwine,apw,Spectra [OLD],"['Decentralized Exchange (DEX)', 'Decentralized Finance (DeFi)', 'Yield Farming', 'Automated Market Maker (AMM)', 'Yield Aggregator', 'Lending/Borrowing Protocols', 'Polygon Ecosystem', 'Ethereum Ecosystem', 'Fixed Interest', 'Yield Tokenization Protocol', 'Delphi Ventures Portfolio']",7445735,1623,38636897.0
apu-s-club,apu,Apu Apustaja,"['Meme', 'Ethereum Ecosystem', 'Frog-Themed', 'Murad Picks', 'Binance Alpha Spotlight']",49932914,661,49932914.0
aquarius,aqua,Aquarius,['Stellar Ecosystem'],27770620,907,83374703.0
arbdoge-ai,aidoge,ArbDoge AI,"['Meme', 'Arbitrum Ecosystem', 'Dog-Themed', 'DWF Labs Portfolio', 'AI Meme']",17242669,1172,17242669.0
aragon,ant,Aragon,"['Software as a service', 'Ethereum Ecosystem', 'Energi Ecosystem']",5902635,1749,6367450.0
arbitrum,arb,Arbitrum,"['Smart Contract Platform', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'Arbitrum Nova Ecosystem', 'Layer 2 (L2)', 'eGirl Capital Portfolio', 'Rollup', 'Alameda Research Portfolio', 'Pantera Capital Portfolio', 'GMCI Layer 2 Index', 'GMCI 30 Index', 'GMCI Index', 'Polychain Capital Portfolio', 'Made in USA']",1662577284,65,3762072126.0
arc,arc,Arc,"['Artificial Intelligence (AI)', 'Ethereum Ecosystem']",6013603,1738,6168619.0
arcblock,abt,Arcblock,"['Artificial Intelligence (AI)', 'Infrastructure', 'Ethereum Ecosystem', 'AI Framework', 'Made in USA']",79213804,501,149460008.0
archway,arch,Archway,"['Smart Contract Platform', 'Layer 1 (L1)', 'Osmosis Ecosystem', 'Blockchain Capital Portfolio']",9568411,1479,18708963.0
ardor,ardr,Ardor,"['Infrastructure', 'Smart Contract Platform']",60262918,585,60262918.0
ark,ark,ARK,[],64090140,567,64605231.0
arianee,aria20,Arianee,"['Polygon Ecosystem', 'Ethereum Ecosystem']",6294026,1706,11713977.0
arkham,arkm,Arkham,"['Artificial Intelligence (AI)', 'Exchange-based Tokens', 'Analytics', 'Derivatives', 'Perpetuals', 'Centralized Exchange (CEX) Token', 'Ethereum Ecosystem', 'Binance Launchpad', 'Coinbase Ventures Portfolio', 'Binance Labs Portfolio', 'Made in USA']",197170129,260,533331420.0
army-3,army,XRP ARMY,"['Meme', 'XRP Ledger Ecosystem']",18898558,1114,18898558.0
arpa,arpa,ARPA,"['BNB Chain Ecosystem', 'Polygon Ecosystem', 'Ethereum Ecosystem', 'Animoca Brands Portfolio', 'DWF Labs Portfolio', 'Binance Labs Portfolio']",28351274,900,57731638.0
artyfact,arty,Artyfact,"['Gaming (GameFi)', 'NFT', 'BNB Chain Ecosystem', 'Metaverse', 'Gaming Governance Token', 'Action Games']",7189914,1637,8384168.0
artrade,atr,Artrade,"['NFT', 'Solana Ecosystem', 'NFT Marketplace', 'Real World Assets (RWA)', 'Art']",18509440,1125,18558251.0
arweave,ar,Arweave,"['Artificial Intelligence (AI)', 'Smart Contract Platform', 'Storage', 'Layer 1 (L1)', 'DePIN', 'Coinbase Ventures Portfolio', 'Multicoin Capital Portfolio', 'Andreessen Horowitz (a16z) Portfolio', 'Blockchain Capital Portfolio']",444841816,153,444841816.0
asd,asd,AscendEx,"['Exchange-based Tokens', 'Centralized Exchange (CEX) Token', 'Ethereum Ecosystem', 'Alameda Research Portfolio']",20835919,1046,20835919.0
asmatch,asm,AsMatch,['Manta Network Ecosystem'],5155587,1835,28606246.0
as-roma-fan-token,asr,AS Roma Fan Token,"['Sports', 'Binance Launchpool', 'Fan Token', 'Chiliz Ecosystem', 'Binance Labs Portfolio']",8783177,1527,12608012.0
astar,astr,Astar,"['Smart Contract Platform', 'Polkadot Ecosystem', 'Layer 1 (L1)', 'Layer 2 (L2)', 'Alameda Research Portfolio', 'Binance Labs Portfolio', 'OKX Ventures Portfolio']",242328786,227,266453188.0
astherus-usdf,usdf,Astherus USDF,"['Stablecoins', 'BNB Chain Ecosystem']",98701637,431,98701637.0
astherus-staked-bnb,asbnb,Astherus Staked BNB,"['BNB Chain Ecosystem', 'Liquid Staking Tokens']",88691263,464,88691263.0
astherus-staked-usdf,asusdf,Astherus Staked USDF,"['BNB Chain Ecosystem', 'Liquid Staking Tokens']",29137296,886,29137296.0
astraai,astra,AstraAI,"['Artificial Intelligence (AI)', 'Ethereum Ecosystem', 'Telegram Apps']",6823198,1664,6823198.0
asymmetry-finance,asf,Asymmetry Finance,"['Decentralized Finance (DeFi)', 'Lending/Borrowing Protocols', 'Ethereum Ecosystem', 'Stablecoin Protocol']",11738378,1371,64341668.0
atletico-madrid,atm,Atletico Madrid Fan Token,"['Sports', 'Binance Launchpool', 'Fan Token', 'Chiliz Ecosystem', 'Binance Labs Portfolio']",8593523,1545,13081146.0
auction,auction,Bounce,"['Decentralized Finance (DeFi)', 'Launchpad', 'Ethereum Ecosystem', 'DWF Labs Portfolio', 'Coinbase Ventures Portfolio', 'Pantera Capital Portfolio', 'Blockchain Capital Portfolio']",112663879,393,130625250.0
audius,audio,Audius,"['Music', 'NFT', 'Ethereum Ecosystem', 'Coinbase Ventures Portfolio', 'Multicoin Capital Portfolio', 'Pantera Capital Portfolio', 'Energi Ecosystem', 'Binance Labs Portfolio']",113991813,387,113991813.0
aura-bal,aurabal,Aura BAL,"['Decentralized Finance (DeFi)', 'Ethereum Ecosystem']",18704827,1116,18704827.0
auki-labs,auki,AUKI,"['Artificial Intelligence (AI)', 'DePIN', 'Base Ecosystem', 'Outlier Ventures Portfolio']",23397528,982,147559512.0
aura-finance,aura,Aura Finance,"['Decentralized Finance (DeFi)', 'Gnosis Chain Ecosystem', 'Ethereum Ecosystem', 'Metagovernance', 'Base Ecosystem']",11411710,1387,18082346.0
aurora-dao,idex,IDEX,"['Decentralized Exchange (DEX)', 'Exchange-based Tokens', 'Index', 'Decentralized Finance (DeFi)', 'Perpetuals', 'Polygon Ecosystem', 'Ethereum Ecosystem', 'Made in USA']",28197534,902,30448343.0
aurora-near,aurora,Aurora,"['Near Protocol Ecosystem', 'Ethereum Ecosystem', 'DWF Labs Portfolio', 'DragonFly Capital Portfolio', 'Pantera Capital Portfolio', 'Aurora Ecosystem']",63331182,572,108661678.0
aurory,aury,Aurory,"['Gaming (GameFi)', 'NFT', 'Metaverse', 'Solana Ecosystem', 'Play To Earn', 'Arbitrum Ecosystem', 'Animoca Brands Portfolio', 'DWF Labs Portfolio', 'Gaming Governance Token', 'Gaming Utility Token', 'Adventure Games']",8622984,1541,12205193.0
