id,symbol,name,market_cap,current_price
fetch-ai,fet,Artificial Superintelligence Alliance,1687355308.0,0.648106
story-2,ip,Story,1494059902.0,5.8
kucoin-shares,kcs,KuCoin,1411146936.0,11.52
maker,mkr,Maker,1385440853.0,1627.08
binance-peg-weth,weth,Binance-Peg WETH,1354673703.0,2241.38
quant-network,qnt,Quant,1350945975.0,92.98
solv-btc,solvbtc,Solv Protocol SolvBTC,1292000810.0,85734.0
kelp-dao-restaked-eth,rseth,Kelp DAO Restaked ETH,1277357891.0,2326.7
xdce-crowd-sale,xdc,XDC Network,1269662799.0,0.080907
ethena,ena,Ethena,1258743080.0,0.402356
injective-protocol,inj,Injective,1252534247.0,12.83
immutable-x,imx,Immutable,1230549924.0,0.695887
blockstack,stx,Stacks,1207931661.0,0.797919
worldcoin-wld,wld,Worldcoin,1179081326.0,1.1
nexo,nexo,NEXO,1168755336.0,1.17
theta-token,theta,Theta Network,1166521840.0,1.17
sei-network,sei,Sei,1162147538.0,0.249681
the-graph,grt,The Graph,1131719235.0,0.118611
rocket-pool-eth,reth,Rocket Pool ETH,1122220820.0,2526.95
lido-dao,ldo,Lido DAO,1109766076.0,1.24
movement,move,Movement,1077697207.0,0.449486
usual-usd,usd0,Usual USD,1070868526.0,0.997987
bonk,bonk,Bonk,1052920572.0,1.359e-05
binance-staked-sol,bnsol,Binance Staked SOL,1042405113.0,149.0
dexe,dexe,DeXe,1033192179.0,18.1
mantle-staked-ether,meth,Mantle Staked Ether,1016530366.0,2367.7
flare-networks,flr,Flare,1003410042.0,0.01696269
berachain-bera,bera,Berachain,930535902.0,8.6
jasmycoin,jasmy,JasmyCoin,873030328.0,0.01805588
solv-protocol-solvbtc-bbn,solvbtc.bbn,Solv Protocol SolvBTC.BBN,862499302.0,84463.0
eos,eos,EOS,859048998.0,0.566636
gala,gala,GALA,848710918.0,0.01960272
tezos,xtz,Tezos,789115285.0,0.764437
telcoin,tel,Telcoin,787732274.0,0.00865467
floki,floki,FLOKI,784277457.0,8.109e-05
the-sandbox,sand,The Sandbox,779094703.0,0.318671
iota,iota,IOTA,766197036.0,0.210172
paypal-usd,pyusd,PayPal USD,753572699.0,0.999957
flow,flow,Flow,746078870.0,0.476272
wbnb,wbnb,Wrapped BNB,742831680.0,609.06
pyth-network,pyth,Pyth Network,736275682.0,0.203288
bittorrent,btt,BitTorrent,724387262.0,7.35162e-07
msol,msol,Marinade Staked SOL,721635289.0,182.57
jito-governance-token,jto,Jito,721421631.0,2.41
kaia,kaia,Kaia,706776157.0,0.120918
ethereum-name-service,ens,Ethereum Name Service,706550670.0,21.31
tether-gold,xaut,Tether Gold,704527891.0,2858.02
virtual-protocol,virtual,Virtuals Protocol,697584830.0,1.075
arbitrum-bridged-wbtc-arbitrum-one,wbtc,Arbitrum Bridged WBTC (Arbitrum One),690548419.0,85988.0
bitcoin-cash-sv,bsv,Bitcoin SV,689035688.0,34.79
raydium,ray,Raydium,679861781.0,2.34
neo,neo,NEO,678876642.0,9.63
renzo-restaked-eth,ezeth,Renzo Restaked ETH,668304724.0,2324.0
dogwifcoin,wif,dogwifhat,666134862.0,0.666609
zcash,zec,Zcash,635843549.0,39.97
usdx-money-usdx,usdx,usdx.money USDX,623867428.0,0.997851
grass,grass,Grass,611941161.0,2.51
elrond-erd-2,egld,MultiversX,608506392.0,21.76
pax-gold,paxg,PAX Gold,597458135.0,2857.53
jupiter-staked-sol,jupsol,Jupiter Staked SOL,596056791.0,156.53
axie-infinity,axs,Axie Infinity,591419944.0,3.72
ronin,ron,Ronin,590043451.0,0.953449
pancakeswap-token,cake,PancakeSwap,579859776.0,2.0
helium,hnt,Helium,575730041.0,3.25
starknet,strk,Starknet,568005166.0,0.207039
curve-dao-token,crv,Curve DAO,557915211.0,0.433063
pudgy-penguins,pengu,Pudgy Penguins,553926192.0,0.00881623
conflux-token,cfx,Conflux,551163285.0,0.111951
decentraland,mana,Decentraland,548922921.0,0.294195
kaito,kaito,KAITO,548915981.0,2.28
binance-peg-dogecoin,doge,Binance-Peg Dogecoin,534213110.0,0.208668
arweave,ar,Arweave,533545871.0,8.17
resolv-usr,usr,Resolv USR,526176533.0,0.999648
l2-standard-bridged-weth-base,weth,L2 Standard Bridged WETH (Base),524843961.0,2240.75
dydx-chain,dydx,dYdX,512934752.0,0.691466
beldex,bdx,Beldex,505727258.0,0.073263
chain-2,xcn,Onyxcoin,504856424.0,0.0153533
apecoin,ape,ApeCoin,502729517.0,0.629142
mantle-restaked-eth,cmeth,Mantle Restaked ETH,501471687.0,2366.35
pumpbtc,pumpbtc,pumpBTC,501433256.0,83816.0
matic-network,matic,Polygon,499642661.0,0.279928
frax,frax,Frax,495079793.0,0.995859
true-usd,tusd,TrueUSD,493671088.0,0.996592
arbitrum-bridged-weth-arbitrum-one,weth,Arbitrum Bridged WETH (Arbitrum One),492386242.0,2241.03
honey-3,honey,Honey,491992943.0,0.999925
aerodrome-finance,aero,Aerodrome Finance,484465639.0,0.615604
spx6900,spx,SPX6900,483074284.0,0.518948
coredaoorg,core,Core,479292446.0,0.481329
chiliz,chz,Chiliz,477954284.0,0.050726
morpho,morpho,Morpho,470242434.0,2.09
pendle,pendle,Pendle,466363738.0,2.82
kava,kava,Kava,462180319.0,0.427281
ether-fi-staked-eth,eeth,ether.fi Staked ETH,455428673.0,2243.75
ecash,xec,eCash,452523587.0,2.283e-05
thorchain,rune,THORChain,450782387.0,1.28
bridged-usdc-polygon-pos-bridge,usdc.e,Bridged USDC (Polygon PoS Bridge),445064468.0,0.9998
bitcoin-avalanche-bridged-btc-b,btc.b,Avalanche Bridged BTC (Avalanche),442884928.0,86081.0
compound-governance-token,comp,Compound,440401176.0,49.68
ousg,ousg,OUSG,432551786.0,110.15
trust-wallet-token,twt,Trust Wallet,431726136.0,1.038
clbtc,clbtc,clBTC,429417499.0,85992.0
beam-2,beam,Beam,427150782.0,0.0081332
apenft,nft,APENFT,418196428.0,4.22669e-07
amp-token,amp,Amp,415442430.0,0.00493628
aioz-network,aioz,AIOZ Network,411081562.0,0.359003
reserve-rights-token,rsr,Reserve Rights,410737376.0,0.00740492
usdb,usdb,USDB,403554567.0,0.995047
eigenlayer,eigen,Eigenlayer,401293178.0,1.64
ai16z,ai16z,ai16z,400810958.0,0.366188
akash-network,akt,Akash Network,399290067.0,1.62
hashnote-usyc,usyc,Hashnote USYC,396312665.0,1.055
wormhole,w,Wormhole,392515470.0,0.136151
olympus,ohm,Olympus,391823551.0,23.91
gnosis,gno,Gnosis,390550230.0,150.98
ondo-us-dollar-yield,usdy,Ondo US Dollar Yield,384425979.0,1.095
mina-protocol,mina,Mina Protocol,383523905.0,0.315308
axelar,axl,Axelar,381865026.0,0.413297
tbtc,tbtc,tBTC,380037523.0,85853.0
based-brett,brett,Brett,377335499.0,0.03809353
verus-coin,vrsc,Verus,375016866.0,4.78
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,372657211.0,1.0
terra-luna,lunc,Terra Luna Classic,369719245.0,6.766e-05
super-oeth,superoethb,Super OETH,360793540.0,2239.79
stakestone-berachain-vault-token,berastone,StakeStone Berachain Vault Token,356832704.0,2216.63
cgeth-hashkey-cloud,cgeth.hashkey,cgETH Hashkey Cloud,352961474.0,2247.73
zksync,zk,ZKsync,350514224.0,0.095461
deep,deep,DeepBook,346457407.0,0.138724
golem,glm,Golem,342636515.0,0.342773
meow,meow,MEOW,340103473.0,0.00378147
coinbase-wrapped-staked-eth,cbeth,Coinbase Wrapped Staked ETH,335894108.0,2444.92
1inch,1inch,1inch,332785915.0,0.242156
binance-peg-busd,busd,Binance-Peg BUSD,324766970.0,1.004
polygon-pos-bridged-weth-polygon-pos,weth,Polygon PoS Bridged WETH (Polygon POS),323513673.0,2240.13
just,jst,JUST,316556256.0,0.0320156
creditcoin-2,ctc,Creditcoin,316012697.0,0.736434
havven,snx,Synthetix Network,312088672.0,0.920745
dash,dash,Dash,311910404.0,25.66
stakewise-v3-oseth,oseth,StakeWise Staked ETH,309823750.0,2333.25
nervos-network,ckb,Nervos Network,309505658.0,0.0067354
kusama,ksm,Kusama,309182183.0,19.13
stader-ethx,ethx,Stader ETHx,308289325.0,2363.36
ket,ket,Ket,306128024.0,0.305753
safepal,sfp,SafePal,305420470.0,0.611565
mantle-bridged-usdt-mantle,usdt,Mantle Bridged USDT (Mantle),302789670.0,1.001
theta-fuel,tfuel,Theta Fuel,302743565.0,0.04418146
chex-token,chex,CHEX Token,301148723.0,0.301479
mx-token,mx,MX,300726586.0,3.17
plume,plume,Plume,297389491.0,0.148891
frax-ether,frxeth,Frax Ether,295705652.0,2231.83
notcoin,not,Notcoin,294608031.0,0.00287153
sweth,sweth,Swell Ethereum,294155188.0,2423.45
blur,blur,Blur,290113981.0,0.130366
elixir-deusd,deusd,Elixir deUSD,288612512.0,0.999885
astar,astr,Astar,286731974.0,0.0377145
layerzero,zro,LayerZero,284196240.0,2.56
compound-wrapped-btc,cwbtc,cWBTC,281370894.0,1726.48
safe,safe,Safe,279717384.0,0.505608
ether-fi-staked-btc,ebtc,Ether.fi Staked BTC,276736912.0,85189.0
polygon-bridged-wbtc-polygon-pos,wbtc,Polygon Bridged WBTC (Polygon POS),275560079.0,86007.0
echelon-prime,prime,Echelon Prime,273088243.0,4.86
sats-ordinals,sats,SATS (Ordinals),270259415.0,1.28711e-07
qtum,qtum,Qtum,266507349.0,2.53
zilliqa,zil,Zilliqa,265562243.0,0.01355804
aethir,ath,Aethir,263449145.0,0.03935219
vana,vana,Vana,262237272.0,8.52
oasis-network,rose,Oasis,261299465.0,0.03885117
fartcoin,fartcoin,Fartcoin,261170939.0,0.261567
the-grays-currency,ptgc,The Grays Currency,259269881.0,0.0008822
superfarm,super,SuperVerse,255999280.0,0.56733
mog-coin,mog,Mog Coin,255831145.0,6.5556e-07
wemix-token,wemix,WEMIX,255807889.0,0.612221
vethor-token,vtho,VeThor,254041954.0,0.00292977
instadapp,fluid,Fluid,253622476.0,6.44
livepeer,lpt,Livepeer,252789130.0,6.58
peanut-the-squirrel,pnut,Peanut the Squirrel,251525411.0,0.250758
dydx,ethdydx,dYdX,250882549.0,0.691506
snek,snek,Snek,248752690.0,0.00334792
ordinals,ordi,ORDI,248658627.0,11.84
basic-attention-token,bat,Basic Attention,248271531.0,0.166237
0x,zrx,0x Protocol,247934832.0,0.292461
holotoken,hot,Holo,245209177.0,0.00138207
liquid-staked-ethereum,lseth,Liquid Staked ETH,244894189.0,2402.92
goplus-security,gps,GoPlus Security,242382651.0,0.133673
popcat,popcat,Popcat,240254199.0,0.244933
vulcan-forged,pyr,Vulcan Forged,42520477.0,1.78
zerebro,zerebro,Zerebro,42370355.0,0.04275957
stonks-5,stonks,STONKS,42339518.0,0.04258313
synfutures,f,SynFutures,42295517.0,0.03004278
aergo,aergo,Aergo,42279216.0,0.08948
kujira,kuji,Kujira,42200493.0,0.34447
vine,vine,Vine,42059285.0,0.0420403
lever,lever,LeverFi,41941016.0,0.00120064
pixels,pixel,Pixels,41761899.0,0.054173
radicle,rad,Radworks,41751307.0,0.83841
dogeai-2,$dogeai,DOGEai,41719946.0,0.055799
concordium,ccd,Concordium,41709390.0,0.00367243
poollotto-finance,plt,Poollotto.finance,41581792.0,2.62
metadium,meta,Metadium,41395147.0,0.02424443
oasys,oas,Oasys,41343603.0,0.02221919
mister-miggles,miggles,Mister Miggles,41325659.0,0.04310726
hatom,htm,Hatom,41243652.0,0.81008
hydradx,hdx,Hydration,41064820.0,0.01089978
alpha-finance,alpha,Stella,41042221.0,0.04458441
limitus,lmt,LIMITUS,40966166.0,0.04933587
clover-finance,clv,Clover Finance,40944721.0,0.0334421
spacen,sn,SpaceN,40848207.0,1.021
phoenix-global,phb,Phoenix,40817575.0,0.794217
tokenfi,token,TokenFi,40701836.0,0.02010789
big-dog-fink,bink,Big Dog Fink,40660611.0,0.00027279
jambo,j,Jambo,40656668.0,0.312688
game-stop,gme,GME (Ethereum),40604346.0,9.873e-05
renzo,rez,Renzo,40584854.0,0.02025815
socean-staked-sol,inf,Sanctum Infinity,40523378.0,185.72
wrapped-xrp,wxrp,Wrapped XRP,40513459.0,2.28
maverick-protocol,mav,Maverick Protocol,40331168.0,0.080139
orbiter-finance,obt,Orbiter Finance,40260717.0,0.01414318
rss3,rss3,RSS3,40228420.0,0.055988
cudos,cudos,Cudos,40153208.0,0.00545273
redbelly-network-token,rbnt,Redbelly Network,40135829.0,0.03936435
mcdull,mcdull,McDull (Meme),40128915.0,4.51e-06
escoin-token,elg,Escoin,39954709.0,0.217207
bc-token,bc,BCGame Coin,39815214.0,0.00398274
falcon-finance,usdf,Falcon USD,39632909.0,0.999502
subsquid,sqd,SQD,39498370.0,0.07172
railgun,rail,Railgun,39440930.0,0.686811
alpha-quark-token,aqt,Alpha Quark,39043681.0,1.45
reservoir-rusd,rusd,Reservoir rUSD,38935059.0,1.001
xpla,xpla,XPLA,38885166.0,0.04779503
lista,lista,Lista DAO,38881996.0,0.225187
tokpie,tkp,TOKPIE,38801391.0,0.489522
alien-worlds,tlm,Alien Worlds,38632094.0,0.00673169
ancient8,a8,Ancient8,38543760.0,0.146404
debridge,dbr,deBridge,38531930.0,0.02141233
hashai,hashai,HashAI,38505781.0,0.00043077
ethernity-chain,ern,Ethernity Chain,38388591.0,1.62
loom-network,loomold,Loom Network (OLD),38306323.0,0.04603431
carry,cre,Carry,38227708.0,0.00382277
electroneum,etn,Electroneum,38190077.0,0.0021251
platon-network,lat,PlatON Network,38186592.0,0.00600341
alchemist-ai,alch,Alchemist AI,37772417.0,0.044434
prosper,pros,Prosper [OLD],37676581.0,0.377318
researchcoin,rsc,ResearchCoin,37588219.0,0.328108
jett-crypto,jett,JETT CRYPTO,37580312.0,0.536862
limewire-token,lmwr,LimeWire,37500609.0,0.117261
helio-protocol-hay,lisusd,Lista USD,37489778.0,0.997155
zefi,ztk,Zefi,37453188.0,0.04681648
sperax,spa,Sperax,37390655.0,0.01919008
stader,sd,Stader,37346156.0,0.67648
myria,myria,Myria,37296519.0,0.00131788
layer3,l3,Layer3,37271706.0,0.067649
neon,neon,Neon,37264875.0,0.15561
daddy-tate,daddy,Daddy Tate,37208199.0,0.062134
degate,dg,DeGate,36918240.0,0.095465
znd-token,znd,ZND Token,36914690.0,0.468595
cortex,ctxc,Cortex,36889359.0,0.16195
marcopolo,mapo,MAP Protocol,36836794.0,0.00642158
marinade,mnde,Marinade,36810138.0,0.085625
shadow-liquid-staking-token,x33,Shadow Liquid Staking Token,36708894.0,95.26
telos,tlos,Telos,36646998.0,0.08726
ampleforth-governance-token,forth,Ampleforth Governance,36594451.0,3.38
snowbank,sb,Snowbank,36512296.0,228.75
vitadao,vita,VitaDAO,36490984.0,1.41
chill-guy,chillguy,Just a chill guy,36435283.0,0.0364404
xtcom-token,xt,XT.com,36432294.0,4.31
saros-finance,saros,Saros,36196159.0,0.01379565
solv-protocol-solvbtc-core,solvbtc.core,Solv Protocol SolvBTC.CORE,36164843.0,85211.0
ix-swap,ixs,IX Swap,36155672.0,0.200891
binance-peg-dai,dai,Binance-Peg DAI,36090931.0,1.003
bim,bim,BIM,36090597.0,1.15
xterio,xter,Xterio,36056738.0,0.320335
mainframe,mft,Mainframe,36014031.0,0.00384264
minswap,min,Minswap,35943663.0,0.02575534
web-3-dollar,usd3,Web 3 Dollar,35790212.0,1.043
wrapped-quil,quil,Wrapped QUIL,35587359.0,0.03944768
pangolin,png,Pangolin,35579886.0,0.162829
celo-dollar,cusd,Celo Dollar,35538548.0,0.999624
thunder-token,tt,ThunderCore,35503502.0,0.00299005
radiant-capital,rdnt,Radiant Capital,35409407.0,0.02952926
btu-protocol,btu,BTU Protocol,35351426.0,0.441911
stader-maticx,maticx,Stader MaticX,35199664.0,0.319834
landwolf-0x67,wolf,LandWolf,35101896.0,3.892e-05
bitcoin-wizards,wzrd,Bitcoin Wizards,35087845.0,1.67
bytecoin,bcn,Bytecoin,35043188.0,0.00019068
slerf,slerf,Slerf,34949979.0,0.069915
concierge-io,ava,AVA (Travala),34910273.0,0.609241
games-for-a-living,gfal,Games for a Living,34908264.0,0.00702969
hive_dollar,hbd,Hive Dollar,34741672.0,1.01
hypurr-fun,hfun,Hypurr Fun,34626180.0,34.77
firmachain,fct,Firmachain,34478864.0,0.03584443
automata,ata,Automata,34396635.0,0.061163
orderly-network,order,Orderly Network,34246248.0,0.14841
mossland,moc,Mossland,34220184.0,0.080474
derive,drv,Derive,34189985.0,0.04638158
whiteheart,white,Whiteheart,34026829.0,3829.43
deapcoin,dep,DEAPCOIN,33992660.0,0.0012389
origin-staked-s,os,Origin Sonic,33991386.0,0.74429
tomochain,vic,Viction,33931407.0,0.282933
lumoz,moz,Lumoz,33931217.0,0.0287494
game-by-virtuals,game,GAME by Virtuals,33896211.0,0.03393295
vyvo-smart-chain,vsc,Vyvo Smart Chain,33874833.0,0.00812437
teddy-bear,bear,TEDDY BEAR,33842893.0,3.3886e-08
socrates,soc,Socrates,33713583.0,0.057828
ultra,uos,Ultra,33647687.0,0.060938
siren-2,siren,Siren,33595989.0,0.0454873
cargox,cxo,CargoX,33592143.0,0.201211
milady-meme-coin,ladys,Milady Meme Coin,33437268.0,3.7646e-08
magic-internet-money-runes,mim,MAGIC•INTERNET•MONEY (Bitcoin),33407338.0,0.00159298
osol,osol,OSOL,33230380.0,0.03311123
lto-network,lto,LTO Network,33209013.0,0.076076
puffer-finance,puffer,Puffer,33195452.0,0.325065
gearbox,gear,Gearbox,33154859.0,0.00331587
xion-2,xion,XION,33154812.0,1.004
defiway,defi,Defiway,33130420.0,0.331318
genesysgo-shadow,shdw,Shadow Token,33090418.0,0.204874
groestlcoin,grs,Groestlcoin,33084561.0,0.380088
kyros-restaked-sol,kysol,Kyros Restaked SOL,33009592.0,169.64
wagmi-2,wagmi,Wagmi,32892118.0,0.01913272
paraswap,psp,ParaSwap,32819367.0,0.02123594
elysia,el,ELYSIA,32803569.0,0.00481664
arpa,arpa,ARPA,32758526.0,0.03340375
xtusd,xtusd,XT Stablecoin XTUSD,32745010.0,0.999039
sai,sai,Sai,32676695.0,12.18
thena,the,Thena,32658908.0,0.591794
finvesta,finvesta,Finvesta,32590426.0,29.82
unizen,zcx,Unizen,32472468.0,0.0471587
bemo-staked-ton,stton,bemo Staked TON,32376274.0,3.54
omisego,omg,OMG Network,32344753.0,0.230598
airtor-protocol,anyone,ANyONe Protocol,32336454.0,0.404527
lumia,lumia,Lumia,32234801.0,0.428725
bitrise-token,brise,Bitgert,32154650.0,8.116e-08
alexgo,alex,ALEX Lab,32153235.0,0.03915317
catizen,cati,Catizen,32096950.0,0.155817
crown-by-third-time-games,crown,Crown by Third Time Games,32092417.0,0.132551
dego-finance,dego,Dego Finance,31888231.0,1.52
melon,mln,Enzyme,31840418.0,11.8
rei-network,rei,REI Network,31813034.0,0.03266038
book-of-ethereum,booe,Book of Ethereum,31811298.0,0.318354
math,math,MATH,31792905.0,0.174923
openserv,serv,OpenServ,31767766.0,0.04788088
sx-network-2,sx,SX Network,31634925.0,0.056798
aquarius,aqua,Aquarius,31630437.0,0.00095042
gogopool,ggp,GoGoPool,31553517.0,4.46
collaterize,collat,Collaterize,31485336.0,0.03169376
noon-usn,usn,Noon USN,31432281.0,0.999875
lukso-token-2,lyx,LUKSO,31411281.0,1.034
sportpoint,point,SportPoint,31397655.0,0.05011
libra-5,libra,Libra,31381676.0,0.122408
dexalot,alot,Dexalot,31248156.0,0.568641
sleepless-ai,ai,Sleepless AI,31230493.0,0.24036
dacxi,dxi,Dacxi,31131861.0,0.00162319
hopr,hopr,HOPR,31065932.0,0.067595
stafi,fis,Stafi,30985312.0,0.204849
marso-tech,marso,Marso.Tech,30923848.0,0.0029345
swarmnode-ai,snai,SwarmNode.ai,30794400.0,0.03417603
perpetual-protocol,perp,Perpetual Protocol,30775553.0,0.424331
basedai,basedai,BasedAI,30717609.0,0.861536
pirate-chain,arrr,Pirate Chain,30693815.0,0.156628
origyn-foundation,ogy,ORIGYN,30459073.0,0.0034501
peapods-finance,peas,Peapods Finance,30429326.0,3.06
parcl,prcl,Parcl,30410528.0,0.136123
penumbra,um,Penumbra,30391656.0,0.843789
bitmex-token,bmex,BitMEX,30278566.0,0.303539
aurora-dao,idex,IDEX,30173554.0,0.032689
lion-cat,lcat,Lion Cat,29899024.0,0.090213
storx,srx,StorX,29791251.0,0.0593
star-atlas,atlas,Star Atlas,29730374.0,0.00162292
moonrabbits,mrb,MoonRabbits,29692907.0,4.678e-05
kekius-maximus,kekius,Kekius Maximus,29605223.0,0.02979289
nakamoto-games,naka,Nakamoto Games,29533117.0,0.454387
sentinel-protocol,bounty,ChainBounty,29428494.0,0.058213
metacade,mcade,Metacade,29297837.0,0.01766455
suins-token,ns,SuiNS Token,29244133.0,0.188313
pippin,pippin,pippin,29233807.0,0.02970763
illuminaticoin,nati,IlluminatiCoin,29178311.0,8.85464e-07
rune-pups,pups,Pups (Bitcoin),29145891.0,0.02918796
wojak,wojak,Wojak,29122618.0,0.00041974
astherus-staked-usdf,asusdf,Astherus Staked USDF,29106579.0,1.011
ankreth,ankreth,Ankr Staked ETH,28941469.0,2648.02
pocket-network,pokt,Pocket Network,28920744.0,0.01711
liquity-bold,bold,Liquity BOLD,28904011.0,0.997829
why,why,WHY,28619855.0,6.7935e-08
dora-factory-2,dora,Dora Factory,28555303.0,0.02857434
ice,ice,Ice Open Network,28442497.0,0.00418747
law-blocks,lbt,Law Blocks,28323357.0,0.131859
retardio,retardio,RETARDIO,28101587.0,0.02810948
token-pocket,tpt,TokenPocket Token,28021369.0,0.00809523
susd-optimism,susd,sUSD (Optimism),27981937.0,0.980045
spectral,spec,Spectral,27784976.0,1.97
meta-2,meta,META,27696837.0,1326.43
mimatic,mimatic,MAI,27555189.0,0.999899
alchemix,alcx,Alchemix,27520125.0,11.5
open-loot,ol,OPENLOOT,27500946.0,0.084158
tethereum-2,t99,Tethereum,27460674.0,0.02881818
polkastarter,pols,Polkastarter,27457373.0,0.278512
tornado-cash,torn,Tornado Cash,27432788.0,7.21
stake-link,sdl,stake.link,27311372.0,0.464198
hegic,hegic,Hegic,27232236.0,0.02530428
camino-network,cam,Camino Network,27223770.0,0.085275
funfair,fun,FUNToken,27182626.0,0.00256762
navi,navx,NAVI Protocol,27139858.0,0.068505
pain,pain,Pain,27062491.0,5.42
tao-bot,taobot,tao.bot,27061294.0,0.353427
komodo,kmd,Komodo,27016465.0,0.192297
palm-ai,palm,PaLM AI,26908623.0,0.34903
seraph,seraph,Seraph,26882345.0,0.150394
gitcoin,gtc,Gitcoin,26675654.0,0.438941
koma-inu,koma,Koma Inu,26668080.0,0.04406295
wanchain,wan,Wanchain,26647634.0,0.134373
unchain-x,unx,Unchain X,26638560.0,0.126619
bankercoin-2,bnkr,BankrCoin,26588734.0,0.00026611
human-protocol,hmt,HUMAN Protocol,26489881.0,0.03497584
tether-eurt,eurt,Euro Tether,26466676.0,1.038
cdai,cdai,cDAI,26447565.0,0.0243697
nuls,nuls,NULS,26445087.0,0.236971
vertex-protocol,vrtx,Vertex,26343166.0,0.060215
rekt-4,rekt,Rekt,26336712.0,6.2804e-08
veraone,vro,VeraOne,26334726.0,91.72
ahatoken,aht,AhaToken,26278179.0,0.00431948
sui-bridged-ether-sui,sbeth,Sui Bridged Ether (Sui),26196356.0,2236.53
moo-deng-2,moodeng,MOO DENG,26178497.0,6.223e-05
opulous,opul,Opulous,26129820.0,0.052262
a-hunters-dream,caw,A Hunters Dream,26121004.0,4.1024e-08
amaterasu-omikami,omikami,AMATERASU OMIKAMI,26072070.0,0.02611875
rarible,rari,RARI,26004496.0,1.43
aavegotchi,ghst,Aavegotchi,25855219.0,0.506063
swell-network,swell,Swell,25847348.0,0.01338263
shadow-2,shadow,Shadow,25837701.0,115.59
pundi-x,npxs,Pundi X [OLD],25765236.0,0.0001091
superwalk,grnd,SuperWalk GRND,25558929.0,0.04458668
dinero-2,dinero,Dinero,25393428.0,0.03655189
seth,seth,sETH,25324699.0,2189.87
sideshift-token,xai,SideShift,25231356.0,0.175058
